YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR,REGIONAL_POPULATION,STUDENTS_PER_100K_INHABITANTS
2022,Provence-Alpes-Côte d'Azur,35-39 ans,Non renseigné,6,1696,0.35,,
2023,Île-de-France,50-54 ans,Non renseigné,16,1150,1.39,,
2023,Île-de-France,25-29 ans,M,60,1150,5.22,403065.0,14.8859
2022,Nouvelle-Aquitaine,40-44 ans,M,7,1696,0.41,180389.0,3.8805
2025,Île-de-France,35-39 ans,M,38,951,4.0,,
2022,Île-de-France,40-44 ans,F,34,1696,2.0,430626.0,7.8955
2025,Grand Est,30-34 ans,F,4,951,0.42,,
2022,Grand Est,35-39 ans,M,10,1696,0.59,168733.0,5.9265
2024,Normandie,25-29 ans,M,2,850,0.24,,
2023,Provence-Alpes-Côte d'Azur,25-29 ans,M,7,1150,0.61,126587.0,5.5298
2025,Bourgogne-Franche-Comté,35-39 ans,M,1,951,0.11,,
2023,Nouvelle-Aquitaine,25-29 ans,M,10,1150,0.87,148952.0,6.7136
2025,Île-de-France,45-49 ans,F,10,951,1.05,,
2024,Île-de-France,35-39 ans,F,21,850,2.47,,
2023,Centre-Val de Loire,25-29 ans,M,5,1150,0.43,63087.0,7.9256
2024,Centre-Val de Loire,30-34 ans,M,3,850,0.35,,
2024,Île-de-France,20-24 ans,F,4,850,0.47,,
2022,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,11,1696,0.65,,
